index,bin,src_image,variant,min,max
249,input_0249.bin,0124.jpg,crop,2,254
250,input_0250.bin,0125.jpg,full,4,164
251,input_0251.bin,0125.jpg,crop,2,83
252,input_0252.bin,0126.jpg,full,1,231
253,input_0253.bin,0126.jpg,crop,0,189
254,input_0254.bin,0127.jpg,full,0,114
255,input_0255.bin,0127.jpg,crop,4,116
256,input_0256.bin,0128.jpg,full,0,139
257,input_0257.bin,0128.jpg,crop,0,133
258,input_0258.bin,0129.jpg,full,0,255
259,input_0259.bin,0129.jpg,crop,0,255
260,input_0260.bin,0130.jpg,full,4,168
261,input_0261.bin,0130.jpg,crop,4,177
262,input_0262.bin,0131.jpg,full,4,215
263,input_0263.bin,0131.jpg,crop,4,227
264,input_0264.bin,0132.jpg,full,0,254
265,input_0265.bin,0132.jpg,crop,0,133
266,input_0266.bin,0133.jpg,full,24,255
267,input_0267.bin,0133.jpg,crop,28,255
268,input_0268.bin,0134.jpg,full,0,247
269,input_0269.bin,0134.jpg,crop,0,253
270,input_0270.bin,0135.jpg,full,4,216
271,input_0271.bin,0135.jpg,crop,25,239
272,input_0272.bin,0136.jpg,full,16,255
273,input_0273.bin,0136.jpg,crop,27,255
274,input_0274.bin,0137.jpg,full,2,231
275,input_0275.bin,0137.jpg,crop,0,241
276,input_0276.bin,0138.jpg,full,4,135
277,input_0277.bin,0138.jpg,crop,6,232
278,input_0278.bin,0139.jpg,full,2,128
279,input_0279.bin,0139.jpg,crop,0,128
280,input_0280.bin,0140.jpg,full,0,114
281,input_0281.bin,0140.jpg,crop,0,114
282,input_0282.bin,0141.jpg,full,30,236
283,input_0283.bin,0141.jpg,crop,29,249
284,input_0284.bin,0142.jpg,full,12,203
285,input_0285.bin,0142.jpg,crop,12,114
286,input_0286.bin,0143.jpg,full,0,156
287,input_0287.bin,0143.jpg,crop,0,144
288,input_0288.bin,0144.jpg,full,0,114
289,input_0289.bin,0144.jpg,crop,3,86
290,input_0290.bin,0145.jpg,full,4,159
291,input_0291.bin,0145.jpg,crop,8,160
292,input_0292.bin,0146.jpg,full,15,207
293,input_0293.bin,0146.jpg,crop,17,179
294,input_0294.bin,0147.jpg,full,11,250
295,input_0295.bin,0147.jpg,crop,22,124
296,input_0296.bin,0148.jpg,full,13,179
297,input_0297.bin,0148.jpg,crop,15,244
298,input_0298.bin,0149.jpg,full,7,170
299,input_0299.bin,0149.jpg,crop,124,157
300,input_0300.bin,0150.jpg,full,5,125
301,input_0301.bin,0150.jpg,crop,4,243
302,input_0302.bin,0151.jpg,full,4,198
303,input_0303.bin,0151.jpg,crop,12,253
304,input_0304.bin,0152.jpg,full,4,198
305,input_0305.bin,0152.jpg,crop,4,210
306,input_0306.bin,0153.jpg,full,3,228
307,input_0307.bin,0153.jpg,crop,3,128
308,input_0308.bin,0154.jpg,full,0,255
309,input_0309.bin,0154.jpg,crop,0,234
310,input_0310.bin,0155.jpg,full,0,114
311,input_0311.bin,0155.jpg,crop,0,203
312,input_0312.bin,0156.jpg,full,2,125
313,input_0313.bin,0156.jpg,crop,1,128
314,input_0314.bin,0157.jpg,full,0,222
315,input_0315.bin,0157.jpg,crop,1,247
316,input_0316.bin,0158.jpg,full,0,114
317,input_0317.bin,0158.jpg,crop,0,101
318,input_0318.bin,0159.jpg,full,0,190
319,input_0319.bin,0159.jpg,crop,0,114
320,input_0320.bin,0160.jpg,full,0,128
321,input_0321.bin,0160.jpg,crop,0,126
322,input_0322.bin,0161.jpg,full,6,252
323,input_0323.bin,0161.jpg,crop,64,233
324,input_0324.bin,0162.jpg,full,1,236
325,input_0325.bin,0162.jpg,crop,11,244
326,input_0326.bin,0163.jpg,full,2,127
327,input_0327.bin,0163.jpg,crop,0,122
328,input_0328.bin,0164.jpg,full,2,239
329,input_0329.bin,0164.jpg,crop,2,133
330,input_0330.bin,0165.jpg,full,0,177
331,input_0331.bin,0165.jpg,crop,114,123
332,input_0332.bin,0166.jpg,full,1,212
333,input_0333.bin,0166.jpg,crop,0,205
334,input_0334.bin,0167.jpg,full,2,207
335,input_0335.bin,0167.jpg,crop,154,246
336,input_0336.bin,0168.jpg,full,2,194
337,input_0337.bin,0168.jpg,crop,72,81
338,input_0338.bin,0169.jpg,full,0,114
339,input_0339.bin,0169.jpg,crop,0,236
340,input_0340.bin,0170.jpg,full,0,225
341,input_0341.bin,0170.jpg,crop,0,114
342,input_0342.bin,0171.jpg,full,7,155
343,input_0343.bin,0171.jpg,crop,50,122
344,input_0344.bin,0172.jpg,full,0,228
345,input_0345.bin,0172.jpg,crop,0,228
346,input_0346.bin,0173.jpg,full,4,134
347,input_0347.bin,0173.jpg,crop,3,185
348,input_0348.bin,0174.jpg,full,4,229
349,input_0349.bin,0174.jpg,crop,7,236
350,input_0350.bin,0175.jpg,full,2,231
351,input_0351.bin,0175.jpg,crop,0,91
352,input_0352.bin,0176.jpg,full,0,114
353,input_0353.bin,0176.jpg,crop,1,116
354,input_0354.bin,0177.jpg,full,16,254
355,input_0355.bin,0177.jpg,crop,15,216
356,input_0356.bin,0178.jpg,full,8,201
357,input_0357.bin,0178.jpg,crop,20,220
358,input_0358.bin,0179.jpg,full,17,114
359,input_0359.bin,0179.jpg,crop,20,37
360,input_0360.bin,0180.jpg,full,30,255
361,input_0361.bin,0180.jpg,crop,114,114
362,input_0362.bin,0181.jpg,full,12,235
363,input_0363.bin,0181.jpg,crop,15,128
364,input_0364.bin,0182.jpg,full,11,181
365,input_0365.bin,0182.jpg,crop,12,227
366,input_0366.bin,0183.jpg,full,7,252
367,input_0367.bin,0183.jpg,crop,12,234
368,input_0368.bin,0184.jpg,full,7,253
369,input_0369.bin,0184.jpg,crop,10,227
370,input_0370.bin,0185.jpg,full,7,199
371,input_0371.bin,0185.jpg,crop,6,173
372,input_0372.bin,0186.jpg,full,4,138
373,input_0373.bin,0186.jpg,crop,36,110
374,input_0374.bin,0187.jpg,full,4,228
375,input_0375.bin,0187.jpg,crop,3,214
376,input_0376.bin,0188.jpg,full,8,254
377,input_0377.bin,0188.jpg,crop,5,114
378,input_0378.bin,0189.jpg,full,4,241
379,input_0379.bin,0189.jpg,crop,6,254
380,input_0380.bin,0190.jpg,full,0,243
381,input_0381.bin,0190.jpg,crop,0,201
382,input_0382.bin,0191.jpg,full,0,223
383,input_0383.bin,0191.jpg,crop,1,212
384,input_0384.bin,0192.jpg,full,1,235
385,input_0385.bin,0192.jpg,crop,3,254
386,input_0386.bin,0193.jpg,full,0,211
387,input_0387.bin,0193.jpg,crop,0,219
388,input_0388.bin,0194.jpg,full,4,169
389,input_0389.bin,0194.jpg,crop,12,140
390,input_0390.bin,0195.jpg,full,0,114
391,input_0391.bin,0195.jpg,crop,0,175
392,input_0392.bin,0196.jpg,full,2,229
393,input_0393.bin,0196.jpg,crop,0,244
394,input_0394.bin,0197.jpg,full,4,252
395,input_0395.bin,0197.jpg,crop,7,233
396,input_0396.bin,0198.jpg,full,0,254
397,input_0397.bin,0198.jpg,crop,0,238
398,input_0398.bin,0199.jpg,full,4,161
399,input_0399.bin,0199.jpg,crop,114,114
